,HSM5FZBJ,CSM5FZ3N,ESM5MEDZ,MSM5LLIC,CSM5FZ3T,MSM5LLFG,ESM5MEEG,MSM5LLIS,CSM5FZ48,CSM5FZ4A,HSM5MD4S,CSM5FZ4O,CSM5MCTZ,HSM5MD86,HSM5MD7Z,HSM5MD8A,MSM5LLEH,HSM5MD82,CSM5MCU4,HSM5MD87,CSM5MCVH,MSM6J2H9,HSM5MD3L,CSM5MCWK,HSM5MD8H,MSM6J2JF,CSM5MCXF,MSM6J2JH,CSM5MCXB,HSM5MD5Z,CSM5MCYU,ESM5MEB9,HSM6XRQC,HSM6XRQB,HSM6XRQE,CSM67U9T,CSM67U9V,CSM67U9X,PSM6XBQM,HSM67VDX,MSM6J2Q1,PSM6XBRK,HSM67VDR,CSM67UH7,CSM79HG4,PSM6XBSE,MSM6J2PO,CSM79HJE,MSM6J2NA,CSM79HJI,CSM79HJG,CSM79HQL,MSM79HD6,CSM79HQR,HSM7J4LP,PSM7J188,MSM9VZFJ,HSM7J4JT,MSM79H8D,CSM79HQN,MSM79H94,MSM9VZMM,CSM7KOQ7,HSM7J4JV,MSM9VZM4,HSM7J4JW,HSMA33NW,HSMA33NY,PSMA265X,MSM5LLDI
HILn_QI65,417286.0,46743.0,21025.0,755976.0,7072.0,102484.0,144524.0,31765.0,87120.0,25318.0,93446.0,70107.0,121604.0,290000.0,66857.0,17142.0,395.0,121572.0,26962.0,32223.0,76354.0,43775.0,672536.0,83620.0,107620.0,64797.0,82320.0,114377.0,267855.0,52990.0,189437.0,107995.0,25243.0,86065.0,144237.0,18242.0,54799.0,36537.0,83006.0,41591.0,77979.0,105703.0,42606.0,1364450.0,140603.0,25974.0,361688.0,23116.0,212351.0,83429.0,23970.0,32480.0,16986.0,31428.0,108359.0,44491.0,65029.0,212687.0,131820.0,42774.0,74655.0,86402.0,72707.0,105991.0,68639.0,231472.0,73971.0,37377.0,37776.0,338029.0
HILn_QI66,0.0,51357.0,118823.0,81108.0,27496.0,119929.0,76937.0,144740.0,57843.0,129008.0,34922.0,218082.0,348738.0,286934.0,176008.0,18109.0,6609.0,41929.0,73977.0,82609.0,92100.0,56549.0,201817.0,263719.0,56996.0,30005.0,51097.0,129890.0,53327.0,86036.0,65384.0,136468.0,98372.0,33759.0,141591.0,45777.0,72534.0,118569.0,213644.0,31444.0,94430.0,104465.0,161916.0,392526.0,191091.0,126286.0,74627.0,268013.0,99173.0,240180.0,113115.0,147446.0,155753.0,64488.0,43728.0,18890.0,120394.0,143851.0,104149.0,169996.0,87237.0,177605.0,38747.0,182204.0,166127.0,166955.0,69905.0,101415.0,77723.0,36768.0
HILn_QI67,141732.0,3189232.0,319541.0,328388.0,686884.0,516904.0,8629221.0,701663.0,813751.0,268225.0,912305.0,2357078.0,100067.0,524260.0,746255.0,1585294.0,2906082.0,3037987.0,363431.0,253112.0,1115134.0,868483.0,1214537.0,487231.0,1052608.0,571134.0,230600.0,1346114.0,388850.0,705896.0,2798274.0,951347.0,490536.0,2504387.0,2856354.0,630361.0,1952933.0,177978.0,36732.0,603456.0,144974.0,744135.0,221892.0,1206659.0,634029.0,252171.0,147989.0,336397.0,2252336.0,496563.0,623153.0,950277.0,0.0,105895.0,1233238.0,1843374.0,168481.0,1374691.0,2543813.0,153509.0,1556658.0,127677.0,378948.0,1540541.0,957532.0,563045.0,784988.0,1824642.0,289211.0,1656781.0
HILn_QI69,248310.0,18371.0,24734.0,15526.0,21678.0,16579.0,3365623.0,9857.0,170566.0,66520.0,527.0,3443.0,64862.0,5170.0,1092.0,75681.0,867490.0,197543.0,30671.0,515549.0,600388.0,66424.0,651571.0,75694.0,2932.0,51464.0,185642.0,45079.0,2220240.0,34838.0,19539.0,139663.0,478498.0,15011.0,81375.0,58634.0,44608.0,15777.0,263026.0,116761.0,11686.0,178211.0,122291.0,268056.0,14428.0,32564.0,249598.0,116158.0,99157.0,99925.0,12095.0,39450.0,19458.0,88728.0,196089.0,86855.0,74697.0,90686.0,24046.0,18368.0,71188.0,248179.0,7734.0,116151.0,253360.0,17855.0,6046.0,433848.0,40891.0,125336.0
HILn_QI73,158718.0,14280.0,35000.0,59192.0,11632.0,315476.0,17706.0,20588.0,6177.0,4985.0,16999.0,17252.0,16162.0,113469.0,13007.0,16219.0,127733.0,129232.0,21380.0,6945.0,325538.0,0.0,19248.0,32459.0,22091.0,9184.0,45618.0,41856.0,341840.0,33195.0,31262.0,75443.0,325154.0,104615.0,52132.0,4165.0,10792.0,70375.0,25865.0,6601.0,69955.0,1197400.0,10918.0,35910.0,23958.0,276386.0,1563.0,328121.0,95068.0,26987.0,11976.0,4903.0,11586.0,361407.0,47466.0,2818.0,116361.0,6162.0,76110.0,36771.0,66019.0,74650.0,12798.0,24443.0,7787.0,26921.0,22824.0,75323.0,85054.0,19708.0
HILn_QI74,17998.0,105891.0,492794.0,163258.0,11020.0,139414.0,135672.0,157027.0,159097.0,145686.0,108763.0,87573.0,28163.0,1277.0,90242.0,141689.0,29328.0,165361.0,135783.0,98635.0,41280.0,66194.0,140868.0,833220.0,166898.0,409141.0,27890.0,179885.0,178802.0,134688.0,258808.0,1517286.0,41809.0,291018.0,119902.0,219024.0,232559.0,121887.0,720093.0,143769.0,361657.0,185207.0,1501083.0,55904.0,69535.0,41253.0,326295.0,135101.0,93909.0,165906.0,197347.0,159329.0,292111.0,107019.0,34145.0,18161.0,108765.0,49348.0,317684.0,109778.0,103125.0,1015786.0,54060.0,218670.0,257410.0,143572.0,393800.0,198915.0,152675.0,134942.0
HILn_TF10,0.0,0.0,538718.0,0.0,0.0,76053169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105132.0,0.0,0.0,0.0,11155002.0,0.0,274902.0,0.0,16698220.0,0.0,0.0,0.0,0.0,0.0,0.0,565555.0,0.0,0.0,0.0,0.0,8435765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HILn_QI77,9771644.0,531850.0,4540893.0,839409.0,516305.0,360387.0,1204219.0,479139.0,567323.0,328836.0,589169.0,400593.0,756683.0,28297911.0,1228294.0,327586.0,3971984.0,346746.0,312580.0,392369.0,6654277.0,482741.0,975326.0,568858.0,401293.0,315021.0,409668.0,614369.0,22924971.0,502896.0,1420678.0,842360.0,3017531.0,419643.0,6341459.0,241720.0,519951.0,322445.0,801682.0,341554.0,803606.0,440300.0,421526.0,951089.0,563472.0,6810465.0,4807836.0,496429.0,638636.0,2107343.0,838899.0,618854.0,692457.0,1374894.0,15185090.0,490696.0,333677.0,353543.0,612841.0,1148255.0,355660.0,708123.0,550089.0,952831.0,515529.0,678218.0,425372.0,719792.0,320664.0,5792275.0
HILn_QI78,3904277.0,12879068.0,28471654.0,1329763.0,1989534.0,3667570.0,11980136.0,7021784.0,1631843.0,6312053.0,6377240.0,2047007.0,10300283.0,38454844.0,8842555.0,6288481.0,27694596.0,2276346.0,2981844.0,15654989.0,4129267.0,6437262.0,3795598.0,1786222.0,10349210.0,1477065.0,2042859.0,2017875.0,1431274.0,5562292.0,1996906.0,7092704.0,24530723.0,4887262.0,4031217.0,1053024.0,1591663.0,10476492.0,2231328.0,1988647.0,3932232.0,15380291.0,4984271.0,2337933.0,2811951.0,4010868.0,5465944.0,16163220.0,506253.0,4129671.0,2137685.0,561882.0,4306624.0,3344904.0,25852132.0,2549196.0,2178064.0,9477899.0,2650661.0,6174629.0,1158836.0,1550036.0,6798354.0,5996172.0,13683156.0,5372179.0,9829212.0,4122399.0,2242968.0,377461.0
HILn_QI84,403723.0,49200.0,174174.0,40447.0,566787.0,67132.0,591293.0,184276.0,131427.0,101321.0,149030.0,167619.0,443941.0,2389546.0,139804.0,53615.0,166291.0,53263.0,101374.0,26438.0,803602.0,242260.0,76578.0,239160.0,76899.0,16378.0,219429.0,124924.0,46286.0,166339.0,39715.0,382661.0,66844.0,115714.0,269132.0,90700.0,92108.0,184060.0,381959.0,103084.0,259316.0,95672.0,131386.0,672169.0,339954.0,1160710.0,163352.0,166098.0,24709.0,323950.0,287241.0,91108.0,177349.0,509289.0,370783.0,85682.0,142232.0,33941.0,156465.0,85657.0,73376.0,427354.0,181424.0,83488.0,277634.0,223694.0,197440.0,56060.0,98219.0,1607326.0
